Date,Time,Wind Generation
19/01/2014,7,3139.5
19/01/2014,8,3168.8
19/01/2014,9,3196
19/01/2014,10,3175.6
19/01/2014,11,3158.3
19/01/2014,12,3139.2
19/01/2014,13,3125.6
19/01/2014,14,3126.3
19/01/2014,15,3140.7
19/01/2014,16,3149.5
19/01/2014,17,3133.1
19/01/2014,18,3128.3
19/01/2014,19,3121.4
19/01/2014,20,3129.2
19/01/2014,21,3119.3
19/01/2014,22,3079.4
19/01/2014,23,3019.2
19/01/2014,24,2947.6
20/01/2014,1,2859.2
20/01/2014,2,2808.7
20/01/2014,3,2810.3
20/01/2014,4,2797.6
20/01/2014,5,2765.1
20/01/2014,6,2714
20/01/2014,7,2701.6
20/01/2014,8,2646.9
20/01/2014,9,2591.5
20/01/2014,10,2508.7
20/01/2014,11,2399.3
20/01/2014,12,2316.5
20/01/2014,13,2186.9
20/01/2014,14,2147.1
20/01/2014,15,2139.8
20/01/2014,16,2159.2
20/01/2014,17,2142.4
20/01/2014,18,2070.3
20/01/2014,19,2022.7
20/01/2014,20,1932.9
20/01/2014,21,1882.7
20/01/2014,22,1872.8
20/01/2014,23,1809.5
20/01/2014,24,1701.3
21/01/2014,1,1557.3
21/01/2014,2,1420.7
21/01/2014,3,1322.3
21/01/2014,4,1211.3
21/01/2014,5,1093.9
21/01/2014,6,1052.1
21/01/2014,7,1002.1
21/01/2014,8,964.2
21/01/2014,9,944.2
21/01/2014,10,916
21/01/2014,11,914
21/01/2014,12,902.9
21/01/2014,13,941.3
21/01/2014,14,983.5
21/01/2014,15,1009.4
21/01/2014,16,988.9
21/01/2014,17,1042.2
21/01/2014,18,1116.2
21/01/2014,19,1169.1
21/01/2014,20,1214.5
21/01/2014,21,1134
21/01/2014,22,1213.6
21/01/2014,23,1282.8
21/01/2014,24,1342.4
22/01/2014,1,1440.4
22/01/2014,2,1474.8
22/01/2014,3,1504.2
22/01/2014,4,1535.2
22/01/2014,5,1597.9
22/01/2014,6,1705.7
22/01/2014,7,1835.9
22/01/2014,8,1974.4
22/01/2014,9,2052.7
22/01/2014,10,2022.3
22/01/2014,11,1962.7
22/01/2014,12,1923.9
22/01/2014,13,1896.1
22/01/2014,14,1866.5
22/01/2014,15,1856.1
22/01/2014,16,1848.6
22/01/2014,17,1868.8
22/01/2014,18,1921.7
22/01/2014,19,1999.2
22/01/2014,20,2005.2
22/01/2014,21,2057.3
22/01/2014,22,2122.5
22/01/2014,23,2191.6
22/01/2014,24,2195.8
23/01/2014,1,2118.3
23/01/2014,2,2027.7
23/01/2014,3,2018.1
23/01/2014,4,1995.5
23/01/2014,5,2024.7
23/01/2014,6,2064.6
23/01/2014,7,2111.7
23/01/2014,8,2152.6
23/01/2014,9,2200.9
23/01/2014,10,2258.8
23/01/2014,11,2312.1
23/01/2014,12,2380.8
23/01/2014,13,2420.3
23/01/2014,14,2483.8
23/01/2014,15,2512.8
23/01/2014,16,2479.1
23/01/2014,17,2461.1
23/01/2014,18,2574.5
23/01/2014,19,2657.1
23/01/2014,20,2685.3
23/01/2014,21,2635.4
23/01/2014,22,2584
23/01/2014,23,2604.5
23/01/2014,24,2606.9
24/01/2014,1,2646.2
24/01/2014,2,2595.1
24/01/2014,3,2502
24/01/2014,4,2434.4
24/01/2014,5,2311.5
24/01/2014,6,2200.5
24/01/2014,7,2120.7
24/01/2014,8,2042.6
24/01/2014,9,1966.5
24/01/2014,10,2001.2
24/01/2014,11,2256
24/01/2014,12,2451.3
24/01/2014,13,2396.8
24/01/2014,14,2347.5
24/01/2014,15,2220
24/01/2014,16,1932.9
24/01/2014,17,1666.6
24/01/2014,18,1640.7
24/01/2014,19,1660.7
24/01/2014,20,1778.1
24/01/2014,21,1966.7
24/01/2014,22,2112.5
24/01/2014,23,2164.9
24/01/2014,24,1935.8
25/01/2014,1,1666.3
25/01/2014,2,1581.5
25/01/2014,3,1596.4
25/01/2014,4,1685.5
25/01/2014,5,1935.9
25/01/2014,6,2075.3
25/01/2014,7,2142.8
25/01/2014,8,2207.2
25/01/2014,9,2198.4
25/01/2014,10,2244.1
25/01/2014,11,2391.8
25/01/2014,12,2474.9
25/01/2014,13,2498
25/01/2014,14,2492.9
25/01/2014,15,2486.4
25/01/2014,16,2583.9
25/01/2014,17,2712.8
25/01/2014,18,2781
25/01/2014,19,2844.5
25/01/2014,20,2922.2
25/01/2014,21,2921
25/01/2014,22,2925.3
25/01/2014,23,2884.9
25/01/2014,24,2802.8
26/01/2014,1,2691.6
26/01/2014,2,2612.1
26/01/2014,3,2527.5
26/01/2014,4,2424.4
26/01/2014,5,2351.5
26/01/2014,6,2267.4
26/01/2014,7,2241.8
26/01/2014,8,2094.3
26/01/2014,9,2030
26/01/2014,10,2047.8
26/01/2014,11,2095.9
26/01/2014,12,2187.5
26/01/2014,13,2152.2
26/01/2014,14,2249.1
26/01/2014,15,2320.8
26/01/2014,16,2288.6
26/01/2014,17,2265.5
26/01/2014,18,2287.3
26/01/2014,19,2372.7
26/01/2014,20,2485.7
26/01/2014,21,2557.1
26/01/2014,22,2690.1
26/01/2014,23,2769.8
26/01/2014,24,2802.4
27/01/2014,1,2798.9
27/01/2014,2,2810.6
27/01/2014,3,2797.5
27/01/2014,4,2753.7
27/01/2014,5,2737.9
27/01/2014,6,2713.6
27/01/2014,7,2691.7
27/01/2014,8,2680.8
27/01/2014,9,2576.1
27/01/2014,10,2469.9
27/01/2014,11,2367
27/01/2014,12,2248
27/01/2014,13,2062.8
27/01/2014,14,1938
27/01/2014,15,1812.8
27/01/2014,16,1699.3
27/01/2014,17,1541.6
27/01/2014,18,1418.3
27/01/2014,19,1333.2
